thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,height,weight,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction,cgpa,Varsity
Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Very Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,65,74,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,53,56,Rarely,Sometimes,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Sometimes,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Often,Often,Sometimes,Sometimes,62,40,Sometimes,Rarely,Never,2.50-3.00,AIUB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very Often,Sometimes,65,62,Often,Rarely,Very Often,3.50-4.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,72,78,Rarely,Rarely,Rarely,2.00-2.50,AIUB
Often,Very Often,Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Very Often,87,67,Never,Often,Rarely,2.00-2.50,AIUB
Very Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Very Often,Very Often,73,90,Rarely,Often,Rarely,1.50-2.00,AIUB
Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,66,76,Sometimes,Rarely,Sometimes,3.00-3.50,AIUB
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Very Often,Very Often,Sometimes,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometime,Very Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,61,70,Rarely,Often,Rarely,2.00-2.50,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,68,78,Rarely,Often,Rarely,1.50-2.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Very Often,Very Often,Somtimes,Very Often,Often,Often,Sometimes,Often,Often,Very Often,Often,Sometimes,Sometimes,Often,Rarely,Sometime,Often,Very Often,Often,Often,Often,Often,Very Often,Sometimes,66,52,Often,Sometimes,Rarely,3.00-3.50,ULAB
Often,Often,Somtimes,Sometimes,Very Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Often,Often,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,64,62,Rarely,Rarely,Rarely,3.00-3.50,ULAB
Very Often,Often,Somtimes,Often,Often,Rarely,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Very Often,66,69,Rarely,Often,Rarely,2.50-3.00,ULAB
Rarely,Sometimes,Rarely,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,69,78,Never,Often,Rarely,2.50-3.00,ULAB
Sometimes,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,65,62,Sometimes,Rarely,Sometimes,3.00-3.50,ULAB
Sometimes,Never,Somtimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,66,66,Rarely,Never,Rarely,3.00-3.50,ULAB
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Sometime,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,74,78,Sometimes,Sometimes,Rarely,3.00-3.50,ULAB
Sometimes,Rarely,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,66,67,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,65,62,Often,Rarely,Very Often,3.50-4.00,ULAB
Rarely,Rarely,Somtimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Never,Often,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,62,66,Rarely,Rarely,Never,2.00-2.50,ULAB
Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely,Rarely,Often,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Never,64,55,Sometimes,Never,Sometimes,2.50-3.00,ULAB
Rarely,Sometimes,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,61,56,Sometimes,Sometimes,Often,3.50-4.00,ULAB
Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,64,79,Often,Sometimes,Very Often,3.50-4.00,ULAB
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Rarely,64,64,Rarely,Never,Very Often,1.50-2.00,ULAB
Never,Never,Somtimes,Often,Often,Often,Often,Often,Often,Often,Very Often,Often,Never,Very Often,Very Often,Sometime,Never,Never,Often,Very Often,Sometimes,Never,Very Often,Never,65,55,Very Often,Never,Very Often,3.00-3.50,ULAB
Never,Sometimes,Somtimes,Very Often,Often,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Very Often,Often,Rarely,Never,Never,Never,Very Often,Sometimes,Often,Rarely,Never,Often,Never,61,82,Sometimes,Never,Often,2.50-3.00,ULAB
Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometime,Often,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,65,78,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Very Often,Often,Often,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,64,58,Rarely,Rarely,Never,3.00-3.50,ULAB
Often,Very Often,Somtimes,Very Often,Very Often,Often,Sometimes,Very Often,Very Often,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Never,67,59,Sometimes,Rarely,Very Often,2.50-3.00,ULAB
Sometimes,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Never,64,45,Often,Rarely,Very Often,3.00-3.50,ULAB
Sometimes,Sometimes,Rarely,Never,Never,Rarely,Often,Often,Sometimes,Never,Never,Never,Sometimes,Never,Often,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Often,Never,60,59,Sometimes,Very Often,Sometimes,3.00-3.50,ULAB
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Very Often,Very Often,Very Often,Sometimes,64,70,Sometimes,Often,Sometimes,3.00-3.50,ULAB
Rarely,Sometimes,Somtimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,73,76,Sometimes,Sometimes,Sometimes,2.50-3.00,ULAB
Never,Sometimes,Somtimes,Often,Sometimes,Sometimes,Never,Often,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Very Often,Never,64,69,Often,Rarely,Often,2.50-3.00,ULAB
Often,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Sometimes,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Never,Never,Never,Never,65,65,Often,Rarely,Very Often,3.00-3.50,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,66,55,Never,Rarely,Very Often,3.00-3.50,ULAB
Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very Often,Sometimes,Often,Very Often,64,47,Sometimes,Sometimes,Rarely,3.50-4.00,ULAB
Rarely,Sometimes,Somtimes,Sometimes,Often,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Often,Very Often,Often,Often,Rarely,Often,Rarely,Never,Never,Often,Sometimes,Sometimes,60,66,Rarely,Never,Sometimes,2.00-2.50,ULAB
Rarely,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,60,56,Rarely,Often,Sometimes,2.00-2.50,ULAB
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Often,48,66,Sometimes,Rarely,Sometimes,2.50-3.00,ULAB
Never,Rarely,Somtimes,Rarely,Rarely,Never,Often,Very Often,Often,Rarely,Rarely,Never,Never,Rarely,Never,Very Often,Rarely,Often,Often,Never,Often,Never,Very Often,Never,71,67,Sometimes,Never,Often,3.00-3.50,ULAB
Rarely,Rarely,Never,Rarely,Rarely,Very Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Never,Rarely,Often,Rarely,70,60,Very Often,Often,Rarely,2.00-2.50,ULAB
Sometimes,Sometimes,Often,Often,Rarely,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,59,45,Sometimes,Rarely,Often,3.00-3.50,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,62,56,Sometimes,Never,Very Often,3.50-4.00,ULAB
Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Very Often,Never,Never,57,49,Sometimes,Never,Very Often,3.50-4.00,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,55,Sometimes,Sometimes,Sometimes,3.50-4.00,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,65,53,Rarely,Rarely,Often,3.50-4.00,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,55,Sometimes,Sometimes,Sometimes,3.00-3.50,ULAB
Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Never,Never,Never,Very Often,Rarely,Very Often,Very Often,Very Often,Very Often,Never,Never,Very Often,Very Often,Very Often,Sometimes,Rarely,Very Often,Never,63,60,Sometimes,Rarely,Often,3.50-4.00,ULAB
Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Often,Often,Often,Rarely,61,58,Sometimes,Rarely,Often,3.00-3.50,ULAB
Often,Rarely,Somtimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Often,Very Often,Very Often,Never,Sometimes,Often,Often,Often,Very Often,Often,Very Often,Sometimes,60,65,Sometimes,Often,Very Often,3.00-3.50,ULAB
Sometimes,Rarely,Often,Often,Very Often,Rarely,Never,Sometimes,Very Often,Rarely,Sometimes,Rarely,Never,Often,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,66,78,Sometimes,Never,Very Often,2.50-3.00,ULAB
Often,Sometimes,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,64,62,Never,Never,Never,3.00-3.50,ULAB
Rarely,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Often,Often,Rarely,72,75,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,60,55,Very Often,Never,Very Often,3.50-4.00,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,50,Sometimes,Sometimes,Sometimes,3.00-3.50,ULAB
Never,Sometimes,Never,Sometimes,Rarely,Often,Never,Sometimes,Sometimes,Often,Never,Sometimes,Often,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,64,51,Rarely,Never,Very Often,3.00-3.50,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,55,Rarely,Rarely,Rarely,1.50-2.00,ULAB
Sometimes,Sometimes,Very Often,Very Often,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very Often,Rarely,Never,Very Often,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,68,85,Rarely,Never,Very Often,3.50-4.00,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Never,60,56,Never,Rarely,Often,3.00-3.50,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,64,51,Often,Never,Often,3.00-3.50,ULAB
Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Often,Sometimes,60,55,Sometimes,Often,Sometimes,2.50-3.00,ULAB
Often,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Often,Sometimes,Very Often,Often,Often,Sometimes,67,58,Sometimes,Often,Very Often,2.50-3.00,ULAB
Never,Rarely,Somtimes,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,64,67,Rarely,Sometimes,Rarely,3.00-3.50,ULAB
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Never,71,63,Sometimes,Sometimes,Sometimes,2.00-2.50,ULAB
Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,68,56,Rarely,Never,Rarely,3.00-3.50,ULAB
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Often,Never,Sometimes,Often,Never,Rarely,Rarely,Sometimes,Sometimes,69,60,Sometimes,Sometimes,Rarely,2.50-3.00,ULAB
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,72,70,Often,Never,Sometimes,3.50-4.00,ULAB
Sometimes,Sometimes,Somtimes,Often,Very Often,Very Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Very Often,Sometime,Sometimes,Often,Very Often,Often,Often,Very Often,Sometimes,Often,70,82,Often,Often,Very Often,3.50-4.00,ULAB
Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Rarely,Never,Sometimes,Never,64,67,Often,Sometimes,Rarely,2.50-3.00,ULAB
Rarely,Rarely,Somtimes,Sometimes,Never,Often,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Often,Never,71,85,Never,Never,Never,1.50-2.00,ULAB
Often,Sometimes,Somtimes,Very Often,Often,Sometimes,Often,Often,Sometimes,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,65,64,Often,Sometimes,Often,3.00-3.50,ULAB
Very Often,Often,Somtimes,Very Often,Very Often,Rarely,Very Often,Very Often,Very Often,Never,Often,Often,Often,Rarely,Often,Never,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,71,72,Very Often,Rarely,Sometimes,2.00-2.50,ULAB
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Rarely,Sometimes,Very Often,Often,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Often,Never,58,85,Sometimes,Sometimes,Often,3.00-3.50,ULAB
Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Often,Never,Never,Very Often,Very Often,Often,Rarely,65,67,Rarely,Never,Sometimes,3.50-4.00,ULAB
Rarely,Often,Very Often,Very Often,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Never,Never,Rarely,Very Often,Very Often,Often,Rarely,Never,Never,Never,66,62,Rarely,Rarely,Very Often,3.00-3.50,ULAB
Never,Often,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Often,Never,Sometimes,Very Often,Very Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Very Often,Often,Very Often,68,53,Sometimes,Very Often,Very Often,2.00-2.50,ULAB
Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,61,52,Rarely,Rarely,Rarely,3.00-3.50,ULAB
Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometime,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Often,66,78,Sometimes,Sometimes,Sometimes,3.00-3.50,ULAB
Never,Very Often,Somtimes,Sometimes,Sometimes,Often,Never,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Very Often,Sometimes,Never,Sometimes,Very Often,Very Often,Often,Very Often,Very Often,Sometimes,Rarely,61,98,Sometimes,Rarely,Often,2.50-3.00,ULAB
Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Very Often,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Never,63,55,Very Often,Never,Very Often,3.50-4.00,ULAB
Never,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,60,48,Often,Rarely,Very Often,3.50-4.00,ULAB
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Rarely,Sometimes,Sometimes,65,53,Rarely,Rarely,Sometimes,3.00-3.50,ULAB
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,67,72,Rarely,Sometimes,Never,2.50-3.00,ULAB
Often,Sometimes,Somtimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,66,62,Sometimes,Sometimes,Rarely,2.50-3.00,ULAB
Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,71,80,Rarely,Sometimes,Rarely,2.50-3.00,ULAB
Sometimes,Often,Somtimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,66,53,Rarely,Rarely,Rarely,2.50-3.00,ULAB
Never,Never,Never,Never,Sometimes,Very Often,Sometimes,Rarely,Never,Never,Never,Never,Never,Very Often,Very Often,Often,Sometimes,Never,Often,Never,Never,Never,Rarely,Never,65,88,Never,Never,Rarely,2.50-3.00,ULAB
Never,Never,Very Often,Sometimes,Rarely,Never,Never,Never,Often,Rarely,Rarely,Often,Sometimes,Rarely,Never,Sometime,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,72,88,Never,Never,Never,3.00-3.50,ULAB
Rarely,Very Often,Rarely,Never,Never,Often,Sometimes,Often,Very Often,Often,Very Often,Often,Never,Never,Never,Never,Sometimes,Never,Never,Very Often,Often,Often,Sometimes,Sometimes,68,67,Never,Rarely,Sometimes,2.50-3.00,ULAB
Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Very Often,Rarely,Sometimes,60,56,Rarely,Very Often,Never,1.50-2.00,ULAB
Often,Often,Somtimes,Often,Very Often,Never,Often,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,66,79,Rarely,Sometimes,Rarely,2.50-3.00,ULAB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Often,Often,62,75,Rarely,Sometimes,Rarely,2.50-3.00,ULAB
Often,Often,Somtimes,Sometimes,Often,Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,63,69,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
